domain,Mi,apache,bsd,gpl,mit,prop,genfoss,missing,FOSS
results/29mayis.edu.tr,49,0.836734693877551,0,0,0,0.163265306122449,0,0,0.836734693877551
results/aabu.edu.jo,9,0.555555555555556,0.333333333333333,0.111111111111111,0,0,0,0,1
results/abtech.edu,107,0.0934579439252336,0.280373831775701,0,0,0.214953271028037,0,0.411214953271028,0.373831775700935
results/abu.ac.jp,3,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0.666666666666667
results/academy.mia.by,2,1,0,0,0,0,0,0,1
results/aceondo-ng.com,2,0,0,0,0,1,0,0,0
results/ada.edu.az,62,0.709677419354839,0.0806451612903226,0,0,0.032258064516129,0,0.17741935483871,0.790322580645161
results/ael.ru,40,0.375,0.1,0,0,0.525,0,0,0.475
results/agh.edu.pl,1675,0.808358208955224,0.097910447761194,0,0,0.0614925373134328,0,0.0322388059701492,0.906268656716418
results/ahtcm.edu.cn,70,0,0.0428571428571429,0,0,0.0285714285714286,0,0.928571428571429,0.0428571428571429
results/aiu.ac.ke,26,1,0,0,0,0,0,0,1
results/aiu.edu.gm,10,0.7,0,0,0,0,0,0.3,0.7
results/aksaray.edu.tr,353,0.0538243626062323,0.0113314447592068,0,0,0.917847025495751,0,0.0169971671388102,0.0651558073654391
results/aku.edu,84,0.0357142857142857,0.0476190476190476,0,0,0.797619047619048,0,0.119047619047619,0.0833333333333333
results/alamo.edu,81,0.0740740740740741,0.234567901234568,0,0,0.444444444444444,0,0.246913580246914,0.308641975308642
results/albaath-univ.edu.sy,36,1,0,0,0,0,0,0,1
results/alyamamah.edu.sa,15,0.6,0,0,0,0,0,0.4,0.6
results/ambou.edu.et,4,0.25,0.75,0,0,0,0,0,1
results/amity.edu,23,0.217391304347826,0,0,0,0.652173913043478,0,0.130434782608696,0.217391304347826
results/ammanu.edu.jo,16,0.0625,0,0,0,0.25,0,0.6875,0.0625
results/angelo.edu,218,0.788990825688073,0.036697247706422,0,0,0.0596330275229358,0,0.114678899082569,0.825688073394495
results/antioch.edu,83,0.36144578313253,0.0963855421686747,0,0,0.421686746987952,0,0.120481927710843,0.457831325301205
results/aos.sk,21,0.142857142857143,0,0,0,0.80952380952381,0,0.0476190476190477,0.142857142857143
results/apu.edu,175,0.177142857142857,0.04,0,0,0.04,0,0.742857142857143,0.217142857142857
results/arbor.edu,47,0.0638297872340425,0.340425531914894,0,0,0.404255319148936,0,0.191489361702128,0.404255319148936
results/arel.edu.tr,59,0.728813559322034,0.0508474576271186,0,0,0.135593220338983,0,0.0847457627118644,0.779661016949152
