"inds";"count";"school";"domain1";"domain2";"domain3"
3980;1;"Gulbarga University";"gulbargauniversity.kar.nic.in";NA;NA
3193;1;"Ecole Nationale Supérieure Agronomique de Toulouse";"ensat.fr";NA;NA
7460;1;"St Theresa's Medical University";"stmu.org";NA;NA
3859;1;"Károl Gáspár University of the Reformed Church";"kgre.hu";NA;NA
1905;1;"Universidade Camilo Castelo Branco";"unicastelo.br";NA;NA
2713;1;"Universidad Católica Popular del Risaralda";"ucpr.edu.co";NA;NA
4245;1;"University of Madras";"unom.ac.in";NA;NA
9224;1;"East Central College";"eastcentral.edu";NA;NA
8607;1;"Ho Chi Minh City Open University";"ou.edu.vn";NA;NA
3416;1;"Ilia Chavchavadze State University";"iliauni.edu.ge";NA;NA
9037;1;"Richland Community College";"richland.edu";NA;NA
1917;1;"Universidade do Grande Rio";"unigranrio.br";NA;NA
1099;1;"University of Tampa";"ut.edu";NA;NA
2478;1;"Northern Jiaotong University";"njtu.edu.cn";NA;NA
3341;1;"Université Lumiére (Lyon II)";"univ-lyon2.fr";NA;NA
5459;1;"Great Lakes University of Kisumu";"gluk.ac.ke";NA;NA
8074;1;"Prince of Songkla University";"psu.ac.th";NA;NA
3541;1;"Fachhochschule Wiesbaden";"fh-wiesbaden.de";NA;NA
1363;1;"Universidad Católica de Cuyo";"uccuyo.edu.ar";NA;NA
8503;1;"Warnborough University";"warnborough.edu";NA;NA
5993;1;"Universiti Malaysia Kelantan";"umk.edu.my";NA;NA
1092;1;"University of South Dakota";"usd.edu";NA;NA
5460;1;"Gretsa Universtiy";"gretsauniversity.ac.ke";NA;NA
1184;1;"Wentworth Institute of Technology";"wit.edu";NA;NA
3696;1;"Universität Stuttgart";"uni-stuttgart.de";NA;NA
259;1;"Carroll College";"carroll.edu";NA;NA
3235;1;"Ecole Supérieure de Commerce de Marseille-Provence";"esc-marseille.fr";NA;NA
2198;1;"University of St. Michael's College";"utoronto.ca";NA;NA
7907;1;"Al-Baath University";"albaath-univ.edu.sy";NA;NA
4765;1;"University of Bergamo";"unibg.it";NA;NA
532;1;"Lafayette College";"lafayette.edu";NA;NA
6084;1;"Universidad Autónoma de la Ciudad de México";"uacm.edu.mx";NA;NA
4161;1;"Rabindra Bharati University";"rabindrabharatiuniversity.net";NA;NA
2829;1;"University North";"unin.hr";NA;NA
8879;1;"Monterey Peninsula College";"mpc.edu";NA;NA
3334;1;"Université des Sciences et Technologies de Lille (Lille I)";"univ-lille1.fr";NA;NA
5118;1;"Musashi Institute of Technology";"musashi-tech.ac.jp";NA;NA
9625;1;"West Virginia Northern Community College";"wvncc.edu";NA;NA
3136;1;"University of Vaasa";"uwasa.fi";NA;NA
3918;1;"Bengal Engineering College";"becs.ac.in";NA;NA
3120;1;"Vaasa University of Applied Sciences";"puv.fi";NA;NA
5213;1;"Reitaku University";"reitaku-u.ac.jp";NA;NA
3325;1;"Université d'Avignon";"univ-avignon.fr";NA;NA
1260;1;"Kabul Health Sciences Institute";"kabuli.edu.af";NA;NA
9305;1;"CUNY Hostos Community College";"hostos.cuny.edu";NA;NA
5442;1;"Semey State University";"semgu.kz";NA;NA
2500;1;"Panzhihua University";"pzhu.edu.cn";NA;NA
6998;1;"Instituto Politécnico de Santarém";"ipsantarem.pt";NA;NA
6917;1;"Technical University of Rzeszow";"prz.rzeszow.pl";NA;NA
230;1;"California Maritime Academy";"csum.edu";NA;NA
742;1;"Portland Community College";"pcc.edu";NA;NA
9547;1;"Richland College";"richlandcollege.edu";NA;NA
8754;1;"Jefferson Davis Community College";"jdcc.edu";NA;NA
7456;1;"Kigali Independent University";"ulk.ac.rw";NA;NA
5433;1;"Al-Farabi Kazakh National University";"kaznu.kz";NA;NA
8599;1;"Ho Chi Minh City University of Foreign Languages and Information Technology";"huflit.vnn.vn";NA;NA
267;1;"Centenary College of Louisiana";"centenary.edu";NA;NA
7918;1;"Wadi International University";"wiu.edu.sy";NA;NA
8518;1;"Ferghana Politechnical Institute";"ferpi.dem.ru";NA;NA
148;1;"Angelo State University";"angelo.edu";NA;NA
7882;1;"HEP-PH FR - University of Teacher Education Fribourg";"edufr.ch";NA;NA
4005;1;"Indian Institute of Information Technology, Guwahati";"iiitg.ac.in";NA;NA
1394;1;"Instituto Universitario de la Policia Federal";"universidad-policial.edu.ar";NA;NA
2706;1;"Universidad Católica de Manizales";"ucatolicamz.edu.co";NA;NA
2235;1;"Universidad de Chile";"uchile.cl";NA;NA
8718;1;"Istanbul 29Mayis  University";"29mayis.edu.tr";NA;NA
9086;1;"Wichita Area Technical College";"watc.edu";NA;NA
3549;1;"Private Hanseuniversität";"hanseuni.de";NA;NA
3631;1;"Theologische Hochschule Friedensau";"thh-friedensau.de";NA;NA
320;1;"Columbia College Chicago";"colum.edu";NA;NA
2430;1;"Huazhong Agricultural University";"hzau.edu.cn";NA;NA
8297;1;"National University of Ostroh Academy";"uosa.uar.net";NA;NA
7766;1;"Al Fashir University";"fashir.edu.sd";NA;NA
1485;1;"University of Western Sydney";"uws.edu.au";NA;NA
333;1;"Cornell College";"cornell-iowa.edu";NA;NA
1711;1;"Katholieke Universiteit Leuven, Campus Kortrijk";"kulak.ac.be";NA;NA
6170;1;"Universidad Pedagógica Nacional";"upn.mx";NA;NA
2769;1;"Universidad del Tolima";"ut.edu.co";NA;NA
5184;1;"Okinawa International University";"okiu.ac.jp";NA;NA
6230;1;"Institut Supérieur de Management et de Technologie (MATCI)";"matci.ac.ma";NA;NA
5541;1;"Dongduk Women's University";"dongduk.ac.kr";NA;NA
8227;1;"St. Augustine International University";"saiu.ac.ug";NA;NA
4764;1;"Basilicata University Potenza";"unibas.it";NA;NA
5177;1;"Oita University";"oita-u.ac.jp";NA;NA
1815;1;"Instituto Tecnológico de Aeronáutica";"ita.br";NA;NA
1299;1;"Université M'hamed Bouguerra de Boumerdes";"umbb.dz";NA;NA
3538;1;"Fachhochschule Weihenstephan";"fh-weihenstephan.de";NA;NA
